implementation,command,sample,wall_us,user_us,system_us,peak_rss_kib,minor_faults,major_faults,voluntary_context_switches,involuntary_context_switches
go,root-help,0,4182.707,1026.000,3080.000,13176,703,0,42,35
rust,root-help,0,1754.055,853.000,853.000,6556,349,0,1,1
rust,root-help,1,1347.562,0.000,1309.000,6516,351,0,1,1
go,root-help,1,4022.837,909.000,2728.000,13180,692,0,38,34
go,root-help,2,4252.489,3126.000,1042.000,13244,706,0,28,24
rust,root-help,2,1749.566,846.000,846.000,6808,351,0,1,1
rust,root-help,3,1336.540,0.000,1287.000,6488,349,0,1,2
go,root-help,3,4074.614,2780.000,926.000,13128,701,0,41,34
go,root-help,4,4515.684,775.000,3103.000,13176,701,0,39,34
rust,root-help,4,1661.141,1610.000,0.000,6332,355,0,1,2
rust,root-help,5,1849.915,0.000,1458.000,6852,351,0,1,2
go,root-help,5,4020.773,1974.000,1974.000,13216,693,0,40,37
go,root-help,6,3375.221,2214.000,1107.000,13180,690,0,22,17
rust,root-help,6,1714.341,0.000,1664.000,6692,349,0,1,2
rust,root-help,7,1571.062,1524.000,0.000,6756,350,0,1,1
go,root-help,7,4240.857,2881.000,960.000,13176,692,0,42,37
go,root-help,8,3839.864,3717.000,0.000,13216,713,0,36,32
rust,root-help,8,2062.374,0.000,1643.000,6556,350,0,1,1
rust,root-help,9,1852.139,0.000,1790.000,6600,351,0,1,1
go,root-help,9,5723.162,1734.000,3469.000,13176,687,0,20,15
go,root-help,10,4641.018,1693.000,2540.000,13220,705,0,22,20
rust,root-help,10,1649.029,0.000,1604.000,6676,351,0,1,1
rust,root-help,11,1964.080,1529.000,0.000,6792,352,0,1,1
go,root-help,11,3740.097,2758.000,919.000,13164,691,0,38,37
go,root-help,12,3736.409,918.000,2756.000,13240,692,0,34,28
rust,root-help,12,1598.502,1557.000,0.000,6520,350,0,1,1
rust,root-help,13,1299.673,0.000,1251.000,6496,349,0,1,2
go,root-help,13,3743.743,3682.000,0.000,13160,707,0,41,34
go,root-help,14,3777.317,2788.000,929.000,13220,694,0,40,36
rust,root-help,14,1798.408,0.000,1701.000,6344,350,0,1,1
rust,root-help,15,1205.684,1168.000,0.000,6484,349,0,1,1
go,root-help,15,4162.900,3062.000,1020.000,13092,693,0,36,30
go,root-help,16,4200.490,1016.000,3049.000,13148,691,0,22,17
rust,root-help,16,1745.068,0.000,1695.000,6664,350,0,1,1
rust,root-help,17,1436.098,0.000,1390.000,6660,349,0,1,1
go,root-help,17,4536.373,936.000,2810.000,13176,691,0,38,35
go,root-help,18,4622.895,3157.000,789.000,13176,687,0,42,36
rust,root-help,18,1731.122,838.000,838.000,6628,349,0,1,2
rust,root-help,19,1711.435,1652.000,0.000,6484,350,0,1,1
go,root-help,19,5209.507,2800.000,1866.000,13176,702,0,44,41
go,root-help,20,4232.661,2075.000,2075.000,13180,697,0,16,12
rust,root-help,20,2514.974,0.000,2099.000,6792,351,0,1,2
rust,root-help,21,2016.348,0.000,1911.000,6600,350,0,1,2
go,root-help,21,4761.887,0.000,4637.000,13164,697,0,18,13
go,root-help,22,4539.157,817.000,3269.000,13148,689,0,33,29
rust,root-help,22,1608.142,0.000,1562.000,6668,351,0,1,1
rust,root-help,23,1330.790,0.000,1288.000,6576,350,0,1,1
go,root-help,23,4313.644,984.000,2953.000,13176,707,0,41,32
go,root-help,24,5208.626,4090.000,1022.000,13164,701,0,45,41
rust,root-help,24,2392.744,774.000,1548.000,6852,351,0,1,1
rust,root-help,25,1712.998,0.000,1649.000,6612,349,0,1,1
go,root-help,25,4541.011,0.000,4430.000,13180,688,0,16,12
go,root-help,26,4645.056,2726.000,1817.000,13176,699,0,16,13
rust,root-help,26,2625.503,1103.000,1103.000,6680,350,0,1,2
rust,root-help,27,2000.960,958.000,958.000,6824,350,0,1,2
go,root-help,27,4940.412,898.000,3593.000,13148,691,0,39,34
go,root-help,28,5266.253,4101.000,1025.000,13176,688,0,18,12
rust,root-help,28,2418.885,0.000,2331.000,6552,350,0,1,1
rust,root-help,29,2225.560,0.000,2142.000,6560,349,0,1,1
go,root-help,29,5601.052,2736.000,2736.000,13160,692,0,50,44
go,root-help,30,4546.129,3324.000,1108.000,13148,688,0,36,30
rust,root-help,30,1800.262,873.000,873.000,6716,350,0,1,1
rust,root-help,31,2126.374,0.000,1756.000,6596,351,0,1,2
go,root-help,31,4454.188,3482.000,870.000,13160,688,0,39,33
go,root-help,32,4392.963,1076.000,3230.000,13172,686,0,41,34
rust,root-help,32,2297.485,0.000,1892.000,6568,350,0,0,3
rust,root-help,33,1578.315,0.000,1517.000,6784,351,0,1,2
go,root-help,33,3868.479,1893.000,1893.000,13172,698,0,14,10
go,root-help,34,3696.324,905.000,2715.000,13048,679,0,14,10
rust,root-help,34,1849.183,1707.000,0.000,6660,350,0,1,1
rust,root-help,35,1736.553,1684.000,0.000,6472,349,0,1,1
go,root-help,35,4354.972,1595.000,2393.000,13164,705,0,41,36
go,root-help,36,4343.821,1977.000,1977.000,13148,691,0,38,33
rust,root-help,36,1724.840,839.000,839.000,6720,352,0,1,1
rust,root-help,37,1235.701,1199.000,0.000,6780,352,0,1,1
go,root-help,37,3901.470,3816.000,0.000,13172,691,0,26,20
go,root-help,38,4153.864,3058.000,1019.000,13180,692,0,40,36
rust,root-help,38,1731.733,0.000,1684.000,6732,349,0,1,1
rust,root-help,39,1667.202,1287.000,0.000,6728,349,0,1,2
go,root-help,39,4053.625,2716.000,905.000,13160,701,0,40,31
go,root-help,40,3499.845,0.000,3421.000,13216,693,0,14,12
rust,root-help,40,1672.673,0.000,1628.000,6596,350,0,1,1
rust,root-help,41,1377.938,1336.000,0.000,6624,349,0,1,1
go,root-help,41,4168.250,950.000,2852.000,13220,703,0,38,39
go,root-help,42,4808.525,3191.000,797.000,13184,691,0,38,33
