implementation,command,sample,wall_us,user_us,system_us,peak_rss_kib,minor_faults,major_faults,voluntary_context_switches,involuntary_context_switches
go,root-help,0,6631.167,3199.000,5332.000,13436,819,0,76,0
rust,root-help,0,3218.116,0.000,3154.000,6772,351,0,1,0
rust,root-help,1,3226.871,1052.000,2105.000,6644,350,0,1,0
go,root-help,1,5929.760,4900.000,2940.000,13176,749,0,67,0
go,root-help,2,6136.658,2953.000,4922.000,13304,793,0,64,0
rust,root-help,2,3200.284,0.000,3128.000,6584,349,0,1,0
rust,root-help,3,2279.401,0.000,2170.000,6556,351,0,1,0
go,root-help,3,8655.641,3100.000,7233.000,13432,798,0,79,0
go,root-help,4,6526.011,2089.000,6269.000,13556,837,0,70,2
rust,root-help,4,2657.953,850.000,1701.000,6672,350,0,1,1
rust,root-help,5,3772.848,1237.000,2474.000,6600,348,0,1,0
go,root-help,5,7324.591,4841.000,4841.000,13172,768,0,74,0
go,root-help,6,6128.943,5810.000,2324.000,13524,852,0,68,0
rust,root-help,6,2328.294,0.000,2254.000,6452,351,0,1,0
rust,root-help,7,2157.434,0.000,2071.000,6720,349,0,1,0
go,root-help,7,8615.014,3204.000,7476.000,13276,804,0,92,0
go,root-help,8,6660.242,2278.000,5695.000,13564,827,0,74,0
rust,root-help,8,3543.778,1132.000,2264.000,6792,351,0,1,1
rust,root-help,9,3002.000,944.000,1889.000,6648,349,0,1,1
go,root-help,9,6513.817,1020.000,7146.000,13204,765,0,74,0
go,root-help,10,6462.451,5797.000,2319.000,13152,806,0,77,0
rust,root-help,10,2965.922,0.000,2866.000,6548,349,0,1,0
rust,root-help,11,3503.293,0.000,3392.000,6676,351,0,1,0
go,root-help,11,4522.126,4497.000,1499.000,13428,815,0,61,0
go,root-help,12,8255.109,4683.000,5854.000,13548,842,0,82,0
rust,root-help,12,3936.316,0.000,3835.000,6572,349,0,1,0
rust,root-help,13,2514.503,0.000,2404.000,6712,349,0,1,0
go,root-help,13,9008.434,4698.000,7048.000,13308,802,0,93,0
go,root-help,14,7076.154,2181.000,6543.000,13532,836,0,84,0
rust,root-help,14,3482.162,849.000,2547.000,6692,351,0,1,0
rust,root-help,15,3595.886,1158.000,2316.000,6740,351,0,1,1
go,root-help,15,5922.317,1540.000,6162.000,13244,799,0,68,1
go,root-help,16,5861.251,2257.000,5643.000,13164,769,0,69,0
rust,root-help,16,2466.464,793.000,1586.000,6680,350,0,1,0
rust,root-help,17,3604.271,0.000,3535.000,6592,349,0,1,0
go,root-help,17,8202.770,4143.000,6215.000,13212,805,0,79,0
go,root-help,18,9314.849,4413.000,7356.000,13420,802,0,97,0
rust,root-help,18,4323.923,2106.000,2106.000,6452,349,0,1,0
rust,root-help,19,2722.995,0.000,2601.000,6800,351,0,1,0
go,root-help,19,6460.418,1998.000,6993.000,13308,813,0,70,0
go,root-help,20,8972.957,2204.000,8818.000,13564,822,0,82,1
